death14_sum,death15_sum,death16_sum,death17_sum,death18_sum,countyFIPS,statecode,countyname,coviddeath_may21,alldeath_may21,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE2020,death14_pop,death15_pop,death16_pop,death17_pop,death18_pop,death20_pop,avgdeath_pop,excessmortal_final
1005,1019,1012,987,1004,1071,AL,Jackson County,67.0,926.0,52592,52229,52058,51865,51649,51672,51582,0.01910937024642531,0.019510233778169215,0.019439855545737447,0.019030174491468235,0.01943890491587446,0.017951998759257105,0.01930570779553493,-0.07011962734621494
9817,9871,9914,10230,10244,1073,AL,Jefferson County,2172.0,15657.0,660185,660717,660507,659892,659672,658539,655342,0.014870074297356045,0.014939830517453009,0.015009681956436495,0.015502536778745612,0.01552892952861422,0.023891342230468977,0.015170210615721078,0.5748853351917265
1526,1545,1601,1558,1576,1077,AL,Lauderdale County,266.0,2159.0,93049,92524,92521,92701,92733,93028,93368,0.016399961310707263,0.016698370152609054,0.017304179591660272,0.01680672268907563,0.01699502873842106,0.023123554108473995,0.016840852496494654,0.37306315777583443
573,570,575,590,593,1079,AL,Lawrence County,26.0,465.0,33423,33116,33196,33035,32905,32851,32857,0.01714388295485145,0.017212223698514315,0.017321364019761417,0.01785984561828364,0.018021577267892417,0.014152235444501933,0.01751177871186065,-0.19184477617246914
1605,1389,1447,1518,1588,1081,AL,Lee County,305.0,1886.0,154682,157162,159446,161808,164206,165015,166831,0.010376126504699965,0.008838014278260649,0.009075172785770731,0.009381489172352417,0.009670779386867714,0.01130485341453327,0.009468316425590295,0.19396658353953125
1063,1062,1059,1195,1184,1083,AL,Limestone County,117.0,1200.0,90622,91596,92896,94144,96199,99136,102228,0.011730043477301317,0.011594392768243155,0.011399844987943508,0.012693320870156356,0.012307820247611722,0.011738466956215518,0.011945084470251211,-0.01729728362744246
329,334,354,330,365,1087,AL,Macon County,10.0,234.0,19670,19331,19077,18828,18320,18065,17895,0.016725978647686834,0.017277947338471884,0.018556376788803272,0.01752708731676227,0.019923580786026202,0.013076278290025146,0.01800219417555009,-0.273628638680897
4078,4233,4479,4581,4644,1089,AL,Madison County,671.0,6333.0,349973,353194,356985,362061,367386,372547,379453,0.011652327465261606,0.011984914806027282,0.012546745661582419,0.012652564070695269,0.012640655876925087,0.016689814021762905,0.012295441576098333,0.3573985056548918
369,359,390,396,406,1091,AL,Marengo County,53.0,387.0,19990,19772,19536,19411,19093,18919,18733,0.018459229614807404,0.01815698968237912,0.01996314496314496,0.020400803668023285,0.021264337715393076,0.020658730582394706,0.01964890112874957,0.05139368593837491
555,587,534,576,589,1093,AL,Marion County,74.0,590.0,30215,30137,29958,29825,29776,29826,29703,0.018368360086049976,0.0194777184192189,0.017824954936911677,0.01931265716680637,0.019781031703385278,0.019863313470019864,0.01895294446247444,0.04803311745823417
1478,1553,1649,1581,1653,1095,AL,Marshall County,200.0,1816.0,94262,94588,95123,95589,96230,96751,96990,0.015679701258195244,0.0164185731805303,0.017335449891193507,0.01653955999121238,0.017177595344487165,0.01872357975048974,0.016630175933123718,0.12587983589496576
5852,5967,6021,6050,6284,1097,AL,Mobile County,950.0,8051.0,414298,414654,415169,414209,414275,413516,412716,0.014125098359152108,0.014390310958051773,0.01450252788623428,0.014606152932456803,0.01516866815521091,0.019507360994000716,0.014558551658221175,0.3399245647478238
373,357,372,398,398,1099,AL,Monroe County,22.0,339.0,21927,21720,21553,21294,21035,20689,20459,0.017010991015642817,0.01643646408839779,0.01725977822112931,0.018690710998403307,0.018920846208699785,0.01656972481548463,0.017663758106454604,-0.06193660966010391
3002,3039,2964,2982,2940,1101,AL,Montgomery County,879.0,4934.0,227647,227420,227398,227514,226631,226074,224639,0.013187083510874293,0.0133629408143523,0.013034415430214866,0.013106885730108916,0.012972629516703364,0.02196412911382262,0.013132791000450747,0.6724646811990507
1757,1873,1855,1907,1939,1103,AL,Morgan County,242.0,2066.0,119496,119316,119090,118940,119216,119630,119883,0.014703421035013724,0.01569781085520802,0.015576454782097572,0.01603329409786447,0.01626459535632801,0.01723346929923342,0.015655115225302357,0.10082034218311411
420,424,434,463,461,1109,AL,Pike County,66.0,450.0,33217,33518,33540,33441,33390,33034,32966,0.012644128006743536,0.012649919446267676,0.012939773404889684,0.013845279746419066,0.013806528900868524,0.013650427713401686,0.013177125901037697,0.03591844047924872
431,440,411,452,410,1111,AL,Randolph County,14.0,325.0,22362,22603,22515,22702,22742,22781,22920,0.0192737679992845,0.01946644250763173,0.018254497001998667,0.01991014007576425,0.018028317650162693,0.014179755671902269,0.018986633046968366,-0.2531716583543295
737,879,940,900,846,1113,AL,Russell County,49.0,588.0,59310,58946,58290,57134,57933,58098,58237,0.01242623503625021,0.014911953313201914,0.016126265225596157,0.01575244162845241,0.014603075967065404,0.010096673935814001,0.014763994234113221,-0.31612856414662205
1286,1289,1338,1333,1342,1115,AL,St. Clair County,107.0,1176.0,86014,86569,87342,87985,88842,89735,90739,0.014951054479503336,0.014889856646143538,0.015319090471937899,0.015150309711882708,0.015105468134440917,0.012960248625177707,0.01508315588878168,-0.1407468887318811
1853,1901,2044,2065,2210,1117,AL,Shelby County,177.0,2054.0,206346,209047,211538,213854,215877,218176,221428,0.008980062613280606,0.009093648796682086,0.009662566536508807,0.009656120530829444,0.010237311061391441,0.009276152970717344,0.009525941907738476,-0.02622196728054929
1261,1392,1428,1445,1400,1121,AL,Talladega County,117.0,1299.0,81550,81168,80598,80192,80219,80226,79985,0.015462906192519926,0.01714961561206387,0.01771756122980719,0.018019253790901836,0.017452224535334522,0.016240545102206665,0.017160312272125465,-0.053598510058166786
666,672,830,787,751,1123,AL,Tallapoosa County,108.0,824.0,40898,40628,40607,40624,40550,40337,40133,0.016284414885813486,0.016540317022742935,0.02043982564582461,0.019372784560850728,0.018520345252774354,0.020531731991129495,0.018231537473601223,0.12616569068071698
2369,2422,2437,2502,2492,1125,AL,Tuscaloosa County,604.0,3603.0,203228,204953,206737,207849,208607,210321,210758,0.011656858306926211,0.011817343488507121,0.011787923787227251,0.012037584977555821,0.011945907855441093,0.017095436472162384,0.011849123683131497,0.4427595600592454
